Mach,Cd
0.006,0.45821
0.006,0.45821
0.006,0.45821
0.007,0.44991
0.01,0.42294
0.012,0.40715
0.016,0.38816
0.022,0.36779
0.028,0.35611
0.031,0.35121
0.035,0.34562
0.04,0.34234
0.046,0.34443
0.049,0.34547
0.053,0.34687
0.058,0.34861
0.063,0.35035
0.07,0.35279
0.076,0.35488
0.081,0.35662
0.087,0.35871
0.093,0.3608
0.097,0.36219
0.102,0.36394
0.108,0.36603
0.114,0.36812
0.119,0.36945
0.125,0.36865
0.131,0.36786
0.137,0.36706
0.145,0.36601
0.158,0.36536
0.178,0.36271
0.187,0.36152
0.201,0.35966
0.221,0.35701
0.235,0.35539
0.257,0.35466
0.289,0.35206
0.322,0.35041
0.355,0.34535
0.388,0.33743
0.409,0.33271
0.441,0.32496
0.475,0.3222
0.509,0.32313
0.544,0.32406
0.579,0.32517
0.612,0.32408
0.648,0.3237
0.684,0.32626
0.719,0.34707
0.755,0.36871
0.791,0.39173
0.812,0.37581
0.842,0.40325
0.879,0.43888
0.915,0.4584
0.952,0.4536
0.977,0.45
1.014,0.4668
1.043,0.498
1.08,0.5124
1.087,0.5112
1.098,0.5112
1.114,0.49458
1.118,0.49004
1.124,0.48269
1.133,0.47061
1.141,0.46062
1.153,0.44416
1.171,0.41791
1.188,0.39219
1.215,0.366
1.249,0.345
1.283,0.33
1.293,0.328
1.309,0.325
1.333,0.322
1.365,0.319
1.396,0.315
1.421,0.312
1.452,0.309
1.482,0.305
1.513,0.302
1.543,0.299
1.572,0.296
1.602,0.293
1.631,0.289
1.632,0.289
1.635,0.289
1.639,0.289
1.645,0.288
1.653,0.287
1.666,0.286
1.686,0.284
1.694,0.283
1.707,0.282
1.725,0.28
1.75,0.277
1.773,0.275
1.793,0.273
1.812,0.271
1.828,0.27
1.831,0.269
1.836,0.269
1.843,0.268
1.854,0.267
1.861,0.267
1.872,0.266
1.884,0.264
1.89,0.264
1.899,0.263
1.909,0.262
1.916,0.261
1.919,0.261
1.923,0.261
1.927,0.26
1.928,0.26
1.93,0.26
1.931,0.26
1.933,0.26
1.935,0.26
1.935,0.26
1.936,0.26
1.936,0.26
1.937,0.259
