# Time (s),Altitude (ft),Vertical velocity (m/s),Vertical acceleration (m/s²)
0,0,0,0
0.009,0,0,0
0.019,0.002,0.23,52.148
0.029,0.022,1.058,113.529
0.039,0.079,2.501,174.97
0.044,0.127,3.453,205.712
0.051,0.231,4.979,201.346
0.063,0.462,7.256,194.638
0.073,0.732,9.22,198.134
0.078,0.892,10.215,199.885
0.086,1.161,11.699,195.955
0.094,1.511,13.346,191.493
0.104,1.98,15.277,194.784
0.109,2.239,16.255,196.431
0.117,2.657,17.717,193.358
0.125,3.173,19.346,189.871
0.135,3.839,21.248,190.612
0.147,4.721,23.541,191.502
0.157,5.525,25.455,191.277
0.167,6.391,27.366,191.051
0.177,7.32,29.276,190.823
0.187,8.312,31.183,190.595
0.194,9.044,32.517,190.434
0.204,10.142,34.424,191.15
0.214,11.303,36.34,191.866
0.224,12.526,38.262,192.583
0.234,13.813,40.191,193.301
0.244,15.164,42.128,194.018
0.254,16.578,44.072,194.737
0.264,18.056,46.023,195.455
0.279,20.393,48.962,196.534
0.302,24.171,53.403,198.154
0.335,30.456,60.131,200.586
0.35,33.437,63.098,201.65
0.372,38.18,67.593,204.669
0.405,45.912,74.461,209.212
0.428,51.632,79.242,212.326
0.462,60.885,86.505,214.509
0.512,75.959,97.311,217.717
0.563,93.164,108.491,220.987
0.613,111.871,119.601,223.416
0.663,132.41,130.832,225.832
0.694,146.073,137.856,227.323
0.74,167.913,148.467,229.052
0.79,193.209,159.966,230.892
0.84,220.4,171.556,232.71
0.891,249.499,183.236,234.514
0.941,280.522,195.007,236.302
0.988,311.788,206.271,237.987
1.038,346.603,218.197,239.021
1.088,383.378,230.173,240.025
1.138,422.121,242.198,240.983
1.188,462.842,254.27,241.883
1.238,505.546,266.385,242.711
1.266,530.329,273.187,243.137
1.308,568.678,283.421,244.173
1.358,616.174,295.658,245.284
1.408,665.681,307.948,246.456
1.458,717.211,320.308,247.929
1.491,752.333,328.506,248.919
1.541,806.682,340.803,247.391
1.581,852.63,350.779,245.312
1.631,911.173,362.948,241.576
1.641,923.12,365.36,240.958
1.656,941.19,368.971,240.522
1.679,968.626,374.377,239.974
1.684,975.394,375.696,239.843
1.692,985.589,377.669,238.437
1.705,1000.983,380.607,236.356
1.716,1015.237,383.285,234.449
1.733,1036.805,387.279,233.819
1.759,1069.575,393.252,232.963
1.784,1102.519,399.147,232.217
1.822,1152.85,407.922,229.468
1.872,1220.702,419.304,225.752
1.922,1290.406,430.491,221.629
1.938,1313.075,434.021,220.146
1.962,1347.423,439.278,218.306
1.998,1399.717,447.079,215.476
2.048,1473.935,457.754,211.56
2.098,1549.888,468.234,207.628
2.138,1611.97,476.488,204.433
2.188,1690.97,486.658,202.386
2.238,1771.629,496.726,200.33
2.288,1853.932,506.692,198.307
2.338,1937.861,516.557,196.296
2.388,2023.401,526.321,194.257
2.438,2110.533,535.982,192.193
2.488,2199.242,545.54,190.11
2.491,2204.614,546.11,189.984
2.496,2212.683,546.964,189.69
2.502,2224.81,548.243,189.249
2.512,2243.054,550.156,188.588
2.528,2270.538,553.013,187.596
2.55,2312.031,557.27,186.11
2.585,2374.863,563.591,183.877
2.6,2403.566,566.43,182.866
2.623,2446.89,570.605,176.565
2.658,2512.457,576.591,167.094
2.708,2607.709,584.605,153.448
2.758,2704.22,591.935,139.74
2.808,2801.876,598.578,125.968
2.858,2900.566,604.531,112.15
2.908,3000.175,609.792,98.301
2.919,3022.068,610.851,95.269
2.935,3054.978,612.406,94.415
2.96,3104.499,614.713,93.134
2.997,3179.127,618.114,91.21
3.022,3230.118,620.387,89.897
3.06,3306.948,623.639,82.871
3.11,3409.578,627.549,73.522
3.138,3468.048,629.558,68.214
