# Time (s),Altitude (ft),Vertical velocity (m/s),Vertical acceleration (m/s²),Mass (g),Gravitational acceleration (m/s²),Drag force (N),Drag coefficient (​),Air temperature (°C),Air pressure (mbar),Air density (g/cm³),Mach number (​)
0,0,0,0,3.306e4,9.79,0,0.47,9.849,921.931,0.001,0.006
0.009,0,0,0,3.306e4,9.79,0,0.47,9.849,921.931,0.001,0.006
0.019,0.002,0.23,52.148,3.304e4,9.79,7.065e-5,0.47,9.849,921.931,0.001,0.006
0.029,0.022,1.058,113.529,3.303e4,9.79,0.005,0.461,9.849,921.93,0.001,0.007
0.039,0.079,2.501,174.97,3.301e4,9.79,0.041,0.432,9.849,921.928,0.001,0.01
0.044,0.127,3.453,205.712,3.3e4,9.79,0.08,0.415,9.849,921.927,0.001,0.012
0.051,0.231,4.979,201.346,3.298e4,9.79,0.158,0.394,9.848,921.923,0.001,0.016
0.063,0.462,7.256,194.638,3.294e4,9.79,0.3,0.371,9.848,921.915,0.001,0.022
0.073,0.732,9.22,198.134,3.291e4,9.79,0.439,0.357,9.847,921.906,0.001,0.028
0.078,0.892,10.215,199.885,3.29e4,9.79,0.515,0.351,9.847,921.901,0.001,0.031
0.086,1.161,11.699,195.955,3.287e4,9.79,0.638,0.344,9.847,921.891,0.001,0.035
0.094,1.511,13.346,191.493,3.285e4,9.79,0.792,0.339,9.846,921.879,0.001,0.04
0.104,1.98,15.277,194.784,3.282e4,9.79,1.005,0.339,9.845,921.864,0.001,0.046
0.109,2.239,16.255,196.431,3.28e4,9.79,1.12,0.339,9.844,921.855,0.001,0.049
0.117,2.657,17.717,193.358,3.278e4,9.79,1.306,0.339,9.844,921.84,0.001,0.053
0.125,3.173,19.346,189.871,3.275e4,9.79,1.53,0.339,9.843,921.823,0.001,0.058
0.135,3.839,21.248,190.612,3.272e4,9.79,1.816,0.339,9.841,921.8,0.001,0.063
0.147,4.721,23.541,191.502,3.269e4,9.79,2.195,0.339,9.84,921.77,0.001,0.07
0.157,5.525,25.455,191.277,3.266e4,9.79,2.543,0.339,9.838,921.743,0.001,0.076
0.167,6.391,27.366,191.051,3.263e4,9.79,2.918,0.339,9.836,921.713,0.001,0.081
