# Time (s),Altitude (ft),Vertical velocity (m/s),Vertical acceleration (m/s²),Mass (g),Gravitational acceleration (m/s²),Drag force (N),Drag coefficient (​),Air temperature (°C),Air pressure (mbar),Air density (g/cm³),Mach number (​)
0,0,0,0,3.306e4,9.796,0,0.469,10.899,939.98,0.001,0.006
0.009,0,0,0,3.306e4,9.796,0,0.469,10.899,939.98,0.001,0.006
0.019,0.002,0.23,52.142,3.304e4,9.796,7.153e-5,0.469,10.899,939.979,0.001,0.006
0.029,0.022,1.058,113.523,3.303e4,9.796,0.005,0.459,10.899,939.979,0.001,0.007
0.039,0.079,2.501,174.964,3.301e4,9.796,0.042,0.431,10.899,939.977,0.001,0.01
0.044,0.127,3.452,205.706,3.3e4,9.796,0.081,0.414,10.899,939.975,0.001,0.012
0.051,0.231,4.979,201.34,3.298e4,9.796,0.16,0.393,10.898,939.972,0.001,0.016
0.063,0.462,7.256,194.632,3.294e4,9.796,0.304,0.37,10.898,939.964,0.001,0.022
0.073,0.732,9.219,198.128,3.291e4,9.796,0.445,0.356,10.897,939.955,0.001,0.028
0.078,0.892,10.214,199.879,3.29e4,9.796,0.522,0.351,10.897,939.949,0.001,0.031
0.086,1.161,11.699,195.948,3.287e4,9.796,0.647,0.343,10.897,939.94,0.001,0.035
0.094,1.51,13.345,191.487,3.285e4,9.796,0.804,0.339,10.896,939.928,0.001,0.04
0.104,1.98,15.277,194.777,3.282e4,9.796,1.02,0.339,10.895,939.912,0.001,0.046
0.109,2.239,16.255,196.425,3.28e4,9.796,1.138,0.339,10.894,939.903,0.001,0.049
0.117,2.657,17.716,193.352,3.278e4,9.796,1.326,0.339,10.894,939.889,0.001,0.053
0.125,3.173,19.345,189.864,3.275e4,9.796,1.554,0.339,10.893,939.871,0.001,0.058
0.135,3.839,21.247,190.605,3.272e4,9.796,1.845,0.339,10.891,939.849,0.001,0.063
0.147,4.721,23.54,191.495,3.269e4,9.796,2.23,0.339,10.89,939.819,0.001,0.07
0.157,5.525,25.454,191.27,3.266e4,9.796,2.583,0.339,10.888,939.791,0.001,0.076
0.167,6.391,27.365,191.044,3.263e4,9.796,2.963,0.339,10.886,939.762,0.001,0.081
0.177,7.32,29.275,190.816,3.26e4,9.796,3.371,0.339,10.884,939.73,0.001,0.087
0.187,8.312,31.182,190.587,3.257e4,9.796,3.805,0.339,10.882,939.696,0.001,0.092
0.194,9.043,32.515,190.426,3.255e4,9.796,4.125,0.339,10.881,939.672,0.001,0.096
0.204,10.141,34.423,191.142,3.251e4,9.796,4.605,0.339,10.879,939.634,0.001,0.102
0.214,11.302,36.338,191.858,3.248e4,9.796,5.115,0.339,10.877,939.595,0.001,0.108
0.224,12.526,38.26,192.575,3.245e4,9.796,5.654,0.339,10.874,939.553,0.001,0.113
0.234,13.813,40.19,193.292,3.242e4,9.796,6.223,0.339,10.872,939.509,0.001,0.119
0.244,15.163,42.126,194.009,3.239e4,9.796,6.822,0.339,10.869,939.463,0.001,0.125
0.254,16.577,44.07,194.727,3.236e4,9.796,7.452,0.339,10.866,939.415,0.001,0.131
0.264,18.055,46.021,195.445,3.233e4,9.796,8.113,0.339,10.863,939.365,0.001,0.136
0.279,20.392,48.96,196.524,3.229e4,9.796,9.164,0.339,10.859,939.285,0.001,0.145
0.302,24.17,53.4,198.142,3.222e4,9.796,10.875,0.34,10.851,939.156,0.001,0.158
0.335,30.454,60.129,200.573,3.212e4,9.796,13.772,0.34,10.839,938.942,0.001,0.178
0.35,33.436,63.095,201.637,3.207e4,9.796,15.158,0.34,10.833,938.841,0.001,0.187
0.372,38.179,67.59,204.655,3.2e4,9.796,17.367,0.34,10.823,938.679,0.001,0.2
0.405,45.911,74.457,209.195,3.19e4,9.796,21.042,0.34,10.808,938.416,0.001,0.22
0.428,51.63,79.238,212.308,3.182e4,9.796,23.821,0.34,10.797,938.221,0.001,0.235
0.462,60.882,86.501,214.489,3.171e4,9.796,28.374,0.341,10.778,937.906,0.001,0.256
0.512,75.956,97.305,217.694,3.155e4,9.796,35.899,0.341,10.748,937.393,0.001,0.288
0.563,93.159,108.484,220.959,3.138e4,9.796,44.646,0.342,10.714,936.807,0.001,0.321
0.613,111.865,119.592,223.382,3.121e4,9.796,54.306,0.342,10.677,936.17,0.001,0.354
0.663,132.402,130.822,225.793,3.104e4,9.796,65.071,0.343,10.637,935.471,0.001,0.387
0.694,146.065,137.845,227.28,3.094e4,9.796,72.324,0.344,10.61,935.005,0.001,0.408
0.74,167.902,148.453,229.003,3.078e4,9.796,84.045,0.345,10.566,934.262,0.001,0.44
0.79,193.196,159.949,230.835,3.061e4,9.796,97.798,0.346,10.516,933.4,0.001,0.474
0.84,220.384,171.536,232.646,3.044e4,9.795,112.792,0.347,10.462,932.475,0.001,0.508
0.891,249.48,183.214,234.441,3.027e4,9.795,129.056,0.348,10.405,931.484,0.001,0.543
0.941,280.498,194.98,236.22,3.01e4,9.795,146.653,0.35,10.343,930.427,0.001,0.578
0.988,311.76,206.241,237.897,2.993e4,9.795,164.66,0.351,10.281,929.363,0.001,0.611
1.038,346.569,218.161,238.921,2.976e4,9.795,185.027,0.353,10.212,928.177,0.001,0.647
1.088,383.338,230.132,239.914,2.958e4,9.795,206.927,0.355,10.139,926.925,0.001,0.682
1.138,422.075,242.152,240.86,2.941e4,9.795,230.5,0.358,10.063,925.606,0.001,0.718
1.188,462.787,254.217,241.746,2.924e4,9.795,255.909,0.361,9.982,924.22,0.001,0.754
1.238,505.482,266.325,242.559,2.906e4,9.795,283.362,0.365,9.897,922.766,0.001,0.79
1.266,530.259,273.123,242.976,2.897e4,9.795,299.774,0.367,9.848,921.922,0.001,0.81
1.308,568.598,283.349,243.999,2.882e4,9.795,326.125,0.371,9.772,920.617,0.001,0.84
1.358,616.082,295.577,245.095,2.864e4,9.795,361.077,0.378,9.678,919,0.001,0.877
1.408,665.575,307.858,246.224,2.847e4,9.795,395.655,0.383,9.58,917.314,0.001,0.913
1.458,717.089,320.205,247.684,2.829e4,9.795,421.966,0.378,9.478,915.56,0.001,0.95
1.491,752.2,328.395,248.665,2.818e4,9.795,439.648,0.375,9.409,914.364,0.001,0.975
1.541,806.53,340.68,247.249,2.8e4,9.795,486.106,0.386,9.301,912.514,0.001,1.011
1.581,852.461,350.648,245.062,2.786e4,9.795,551.984,0.414,9.21,910.95,0.001,1.041
1.631,910.981,362.802,241.262,2.769e4,9.795,607.743,0.427,9.094,908.957,0.001,1.077
1.641,922.924,365.211,240.606,2.765e4,9.795,615.776,0.427,9.07,908.55,0.001,1.085
1.656,940.986,368.817,240.163,2.76e4,9.795,626.372,0.426,9.035,907.935,0.001,1.095
1.679,968.411,374.214,239.585,2.752e4,9.795,639.656,0.423,8.98,907.001,0.001,1.112
1.684,975.175,375.531,239.453,2.75e4,9.795,642.633,0.422,8.967,906.771,0.001,1.115
1.692,985.366,377.501,238.019,2.748e4,9.795,646.71,0.42,8.947,906.424,0.001,1.121
1.705,1000.752,380.434,235.934,2.744e4,9.795,650.867,0.417,8.916,905.9,0.001,1.13
1.716,1015,383.106,234.019,2.74e4,9.795,654.569,0.413,8.888,905.415,0.001,1.138
1.733,1036.558,387.094,233.372,2.734e4,9.795,657.766,0.407,8.845,904.681,0.001,1.15
1.759,1069.312,393.055,232.499,2.725e4,9.795,660.218,0.397,8.78,903.565,0.001,1.168
1.784,1102.239,398.938,231.742,2.717e4,9.795,659.99,0.385,8.715,902.444,0.001,1.186
1.822,1152.543,407.695,228.985,2.705e4,9.795,656.672,0.368,8.615,900.731,0.001,1.212
1.872,1220.356,419.052,225.283,2.689e4,9.795,652.423,0.346,8.481,898.437,0.001,1.246
1.922,1290.017,430.217,221.207,2.673e4,9.794,655.749,0.331,8.343,896.179,0.001,1.279
1.938,1312.671,433.741,219.727,2.668e4,9.794,661.09,0.329,8.298,895.444,0.001,1.29
1.962,1346.997,438.988,217.907,2.661e4,9.794,670.483,0.326,8.23,894.331,0.001,1.306
1.998,1399.255,446.774,215.069,2.65e4,9.794,687.522,0.323,8.127,892.637,0.001,1.329
2.048,1473.422,457.429,211.141,2.635e4,9.794,710.767,0.319,7.98,890.232,0.001,1.361
2.098,1549.32,467.888,207.188,2.62e4,9.794,733.541,0.315,7.829,887.771,0.001,1.393
2.138,1611.355,476.123,203.975,2.608e4,9.794,751.392,0.313,7.706,885.76,0.001,1.417
2.188,1690.293,486.27,201.908,2.594e4,9.794,773.277,0.309,7.55,883.201,0.001,1.448
2.238,1770.887,496.314,199.84,2.58e4,9.794,794.853,0.306,7.39,880.588,0.001,1.478
2.288,1853.12,506.255,197.808,2.566e4,9.794,816.054,0.303,7.228,877.922,0.001,1.508
2.338,1936.975,516.095,195.778,2.552e4,9.794,836.9,0.299,7.061,875.203,0.001,1.538
2.388,2022.437,525.832,193.718,2.538e4,9.794,857.361,0.296,6.892,872.432,0.001,1.568
2.438,2109.487,535.466,191.631,2.524e4,9.794,877.425,0.293,6.72,869.61,0.001,1.597
2.488,2198.109,544.995,189.531,2.51e4,9.794,897.095,0.29,6.544,866.736,0.001,1.626
2.491,2203.476,545.563,189.405,2.509e4,9.794,898.262,0.29,6.533,866.562,0.001,1.628
2.496,2211.536,546.415,189.109,2.508e4,9.794,900.01,0.289,6.517,866.301,0.001,1.63
2.502,2223.651,547.69,188.667,2.506e4,9.794,902.623,0.289,6.493,865.908,0.001,1.634
2.512,2241.876,549.597,188.003,2.503e4,9.794,906.524,0.288,6.457,865.317,0.001,1.64
2.528,2269.333,552.445,187.008,2.499e4,9.794,912.331,0.288,6.403,864.427,0.001,1.649
2.55,2310.782,556.688,185.518,2.493e4,9.794,920.944,0.286,6.321,863.083,0.001,1.661
2.585,2373.548,562.989,183.28,2.484e4,9.793,933.638,0.284,6.196,861.048,0.001,1.681
2.6,2402.22,565.819,182.266,2.48e4,9.793,939.305,0.283,6.14,860.119,0.001,1.689
2.623,2445.497,569.98,175.961,2.475e4,9.793,947.578,0.282,6.054,858.716,0.001,1.702
2.658,2510.992,575.945,166.481,2.468e4,9.793,959.285,0.28,5.924,856.592,0.001,1.72
2.708,2606.135,583.928,152.823,2.457e4,9.793,974.601,0.278,5.736,853.507,0.001,1.745
2.758,2702.532,591.226,139.105,2.447e4,9.793,988.176,0.276,5.545,850.382,0.001,1.767
2.808,2800.069,597.837,125.329,2.436e4,9.793,1000.028,0.274,5.351,847.22,0.001,1.787
2.858,2898.635,603.758,111.51,2.426e4,9.793,1010.259,0.272,5.156,844.098,0.001,1.806
2.908,2998.115,608.988,97.657,2.415e4,9.793,1018.879,0.27,4.959,841.029,0.001,1.822
2.919,3019.979,610.039,94.624,2.413e4,9.793,1020.54,0.27,4.916,840.355,0.001,1.825
2.935,3052.845,611.584,93.767,2.41e4,9.793,1022.951,0.269,4.851,839.341,0.001,1.83
2.96,3102.299,613.875,92.482,2.406e4,9.793,1026.49,0.269,4.753,837.815,0.001,1.837
2.997,3176.824,617.252,90.549,2.4e4,9.793,1031.619,0.268,4.605,835.516,0.001,1.848
3.022,3227.743,619.508,89.23,2.397e4,9.793,1034.981,0.267,4.504,833.945,0.001,1.855
3.06,3304.463,622.735,82.195,2.391e4,9.793,1039.62,0.266,4.352,831.578,0.001,1.865
3.11,3406.942,626.61,72.835,2.384e4,9.793,1044.786,0.265,4.149,828.417,0.001,1.878
3.138,3465.324,628.6,67.523,2.38e4,9.792,1047.221,0.264,4.033,826.616,0.001,1.884
3.181,3553.226,631.319,60.329,2.375e4,9.792,1050.235,0.264,3.859,823.904,0.001,1.893
3.231,3657.025,634.124,51.881,2.369e4,9.792,1052.846,0.263,3.654,820.702,0.001,1.902
3.281,3761.249,636.507,43.449,2.363e4,9.792,1054.456,0.262,3.447,817.486,0.001,1.91
3.3,3801.936,637.321,40.168,2.361e4,9.792,1054.819,0.262,3.367,816.231,0.001,1.912
3.329,3863.057,638.38,32.327,2.358e4,9.792,1054.995,0.261,3.245,814.345,0.001,1.916
3.373,3954.902,639.539,20.572,2.354e4,9.792,1054.302,0.261,3.063,811.512,0.001,1.92
3.388,3986.35,639.817,16.552,2.353e4,9.792,1053.803,0.261,3.001,810.542,0.001,1.921
3.41,4033.544,640.152,13.299,2.351e4,9.792,1052.874,0.261,2.908,809.086,0.001,1.922
3.441,4097.669,640.491,8.884,2.349e4,9.792,1051.352,0.261,2.781,807.108,0.001,1.924
3.487,4193.908,640.87,7.656,2.346e4,9.792,1048.774,0.26,2.59,804.139,0.001,1.926
3.537,4299.067,641.219,6.315,2.343e4,9.792,1045.816,0.26,2.382,800.894,0.001,1.928
3.544,4314.246,641.264,6.121,2.342e4,9.792,1045.377,0.26,2.352,800.426,0.001,1.928
3.555,4337.016,641.325,5.282,2.342e4,9.792,1044.707,0.26,2.306,799.724,0.001,1.928
3.571,4371.175,641.401,4.024,2.341e4,9.792,1043.665,0.26,2.239,798.67,0.001,1.929
3.595,4422.42,641.476,2.142,2.339e4,9.792,1042.019,0.26,2.137,797.089,0.001,1.929
3.609,4451.029,641.498,1.091,2.338e4,9.792,1041.055,0.26,2.081,796.206,0.001,1.929
3.629,4493.944,641.467,-4.133,2.337e4,9.791,1039.475,0.26,1.996,794.886,0.001,1.93
3.66,4558.303,641.221,-11.962,2.336e4,9.791,1036.797,0.26,1.868,792.997,0.001,1.929
3.688,4617.239,640.785,-19.124,2.334e4,9.791,1033.895,0.26,1.751,791.268,0.001,1.928
3.73,4705.552,639.917,-22.183,2.333e4,9.791,1029.094,0.26,1.576,788.678,0.001,1.926
3.778,4806.164,638.769,-25.664,2.331e4,9.791,1023.301,0.261,1.377,785.726,9.971e-4,1.924
3.819,4892.014,637.659,-28.506,2.33e4,9.791,1018.097,0.261,1.207,783.207,9.945e-4,1.921
3.853,4963.088,636.626,-32.256,2.329e4,9.791,1013.562,0.261,1.066,781.122,9.923e-4,1.918
3.897,5054.878,635.02,-40.754,2.329e4,9.791,1007.138,0.262,0.884,778.429,9.896e-4,1.914
3.947,5158.872,632.82,-47.206,2.328e4,9.791,999.089,0.262,0.678,775.378,9.864e-4,1.908
3.981,5229.37,631.141,-51.578,2.328e4,9.791,993.26,0.263,0.538,773.31,9.843e-4,1.904
3.997,5262.479,630.31,-52.337,2.328e4,9.791,990.44,0.263,0.473,772.338,9.833e-4,1.901
4.021,5312.06,629.056,-52.156,2.328e4,9.791,986.205,0.263,0.375,770.884,9.818e-4,1.898
4.057,5386.247,627.183,-51.882,2.328e4,9.791,979.888,0.264,0.228,768.707,9.796e-4,1.893
4.107,5488.919,624.599,-51.503,2.328e4,9.791,971.182,0.264,0.024,765.695,9.765e-4,1.886
4.157,5591.169,622.033,-51.124,2.328e4,9.79,962.563,0.265,-0.178,762.695,9.734e-4,1.879
4.207,5692.999,619.486,-50.749,2.328e4,9.79,954.039,0.266,-0.38,759.708,9.703e-4,1.872
4.257,5794.413,616.958,-50.391,2.328e4,9.79,945.586,0.266,-0.581,756.732,9.672e-4,1.865
4.307,5895.414,614.447,-50.04,2.328e4,9.79,937.218,0.267,-0.781,753.769,9.641e-4,1.858
4.357,5996.005,611.954,-49.69,2.328e4,9.79,928.938,0.267,-0.98,750.818,9.61e-4,1.851
4.407,6096.187,609.478,-49.343,2.328e4,9.79,920.731,0.268,-1.179,747.879,9.58e-4,1.844
4.457,6195.965,607.019,-48.993,2.328e4,9.79,912.716,0.269,-1.377,745.045,9.55e-4,1.837
4.507,6295.342,604.579,-48.645,2.328e4,9.79,904.843,0.269,-1.573,742.274,9.522e-4,1.831
4.557,6394.319,602.155,-48.303,2.328e4,9.79,897.049,0.27,-1.77,739.514,9.493e-4,1.824
4.607,6492.9,599.748,-47.976,2.328e4,9.79,889.319,0.271,-1.965,736.765,9.465e-4,1.817
4.657,6591.088,597.357,-47.656,2.328e4,9.79,881.665,0.271,-2.159,734.027,9.436e-4,1.811
4.707,6688.884,594.982,-47.333,2.328e4,9.789,874.091,0.272,-2.353,731.3,9.408e-4,1.804
4.757,6786.293,592.624,-47.008,2.328e4,9.789,866.587,0.273,-2.546,728.584,9.38e-4,1.798
4.807,6883.316,590.281,-46.688,2.328e4,9.789,859.148,0.273,-2.738,725.879,9.351e-4,1.791
4.857,6979.955,587.955,-46.366,2.328e4,9.789,851.785,0.274,-2.93,723.184,9.323e-4,1.785
4.907,7076.215,585.645,-46.05,2.328e4,9.789,844.492,0.275,-3.12,720.5,9.295e-4,1.778
4.957,7172.097,583.35,-45.746,2.328e4,9.789,837.259,0.275,-3.31,717.827,9.267e-4,1.772
5.007,7267.604,581.07,-45.442,2.328e4,9.789,830.099,0.276,-3.5,715.164,9.239e-4,1.766
5.057,7362.738,578.806,-45.135,2.328e4,9.789,823.008,0.276,-3.688,712.511,9.212e-4,1.759
5.107,7457.501,576.557,-44.835,2.328e4,9.789,815.976,0.277,-3.876,709.869,9.184e-4,1.753
5.157,7551.897,574.322,-44.531,2.328e4,9.789,809.015,0.278,-4.063,707.237,9.156e-4,1.747
5.207,7645.928,572.103,-44.23,2.328e4,9.789,802.123,0.278,-4.249,704.615,9.128e-4,1.741
5.257,7739.596,569.899,-43.937,2.328e4,9.788,795.295,0.279,-4.435,702.003,9.101e-4,1.735
5.307,7832.904,567.709,-43.657,2.328e4,9.788,788.623,0.279,-4.62,699.486,9.075e-4,1.729
5.357,7925.853,565.534,-43.379,2.328e4,9.788,782.069,0.28,-4.804,697.025,9.049e-4,1.723
