# Drag coefficient (​),Mach number (​)
0.47,0.006
0.47,0.006
0.47,0.006
0.461,0.007
0.432,0.01
0.415,0.012
0.394,0.016
0.371,0.022
0.357,0.028
0.351,0.031
0.344,0.035
0.339,0.04
0.339,0.046
0.339,0.049
0.339,0.053
0.339,0.058
0.339,0.063
0.339,0.07
0.339,0.076
0.339,0.081
0.339,0.087
0.339,0.093
0.339,0.097
0.339,0.102
0.339,0.108
0.339,0.114
0.339,0.119
0.339,0.125
0.339,0.131
0.339,0.137
0.339,0.145
0.34,0.158
0.34,0.178
0.34,0.187
0.34,0.201
0.34,0.221
0.34,0.235
0.341,0.257
0.341,0.289
0.342,0.322
0.342,0.355
0.343,0.388
0.344,0.409
0.345,0.441
0.346,0.475
0.347,0.509
0.348,0.544
0.35,0.579
0.351,0.612
0.353,0.648
0.355,0.684
0.358,0.719
0.361,0.755
0.365,0.791
0.367,0.812
0.372,0.842
0.379,0.879
0.382,0.915
0.378,0.952
0.375,0.977
0.389,1.014
0.415,1.043
0.427,1.08
0.426,1.087
0.426,1.098
0.422,1.114
0.421,1.118
0.419,1.124
0.415,1.133
0.412,1.141
0.406,1.153
0.395,1.171
0.383,1.188
0.366,1.215
0.345,1.249
0.33,1.283
0.328,1.293
0.325,1.309
0.322,1.333
0.319,1.365
0.315,1.396
0.312,1.421
0.309,1.452
0.305,1.482
0.302,1.513
0.299,1.543
0.296,1.572
0.293,1.602
0.289,1.631
0.289,1.632
0.289,1.635
0.289,1.639
0.288,1.645
0.287,1.653
0.286,1.666
0.284,1.686
0.283,1.694
0.282,1.707
0.28,1.725
0.277,1.75
0.275,1.773
0.273,1.793
0.271,1.812
0.27,1.828
0.269,1.831
0.269,1.836
0.268,1.843
0.267,1.854
0.267,1.861
0.266,1.872
0.264,1.884
0.264,1.89
0.263,1.899
0.262,1.909
0.261,1.916
0.261,1.919
0.261,1.923
0.26,1.927
0.26,1.928
0.26,1.93
0.26,1.931
0.26,1.933
0.26,1.935
0.26,1.935
0.26,1.936
0.26,1.936
0.259,1.937
0.259,1.937
0.259,1.937
0.259,1.937
0.26,1.936
0.26,1.934
0.26,1.932
0.26,1.929
0.26,1.926
0.261,1.922
0.261,1.916
0.262,1.912
0.262,1.91
0.262,1.906
0.263,1.901
0.263,1.894
0.264,1.887
0.265,1.88
0.265,1.873
0.266,1.867
0.267,1.86
0.267,1.853
0.268,1.846
0.269,1.84
0.269,1.833
0.27,1.827
0.27,1.82
0.271,1.814
0.272,1.807
0.272,1.801
0.273,1.794
0.274,1.788
0.274,1.782
0.275,1.775
0.275,1.769
0.276,1.763
0.277,1.757
0.277,1.751
0.278,1.745
0.278,1.739
0.279,1.733
0.28,1.727
0.28,1.721
0.281,1.715
0.281,1.709
0.282,1.703
0.283,1.698
0.283,1.692
0.284,1.686
0.284,1.681
0.285,1.675
0.285,1.669
0.286,1.664
0.287,1.658
0.287,1.653
0.288,1.647
0.288,1.642
0.289,1.636
0.289,1.631
0.29,1.626
0.291,1.62
0.291,1.615
0.292,1.61
0.292,1.605
0.293,1.599
0.293,1.594
0.294,1.589
0.294,1.584
0.295,1.579
0.295,1.574
0.296,1.569
0.297,1.564
0.297,1.559
0.298,1.554
0.298,1.549
0.299,1.544
0.299,1.539
0.3,1.534
0.3,1.529
0.301,1.525
0.301,1.52
0.302,1.515
0.302,1.51
0.303,1.506
0.303,1.501
0.304,1.496
0.304,1.492
0.305,1.487
0.305,1.482
0.306,1.478
0.306,1.473
0.307,1.469
0.307,1.464
0.308,1.46
0.308,1.455
0.309,1.451
0.309,1.446
0.31,1.442
0.31,1.438
0.311,1.433
0.311,1.429
0.312,1.425
0.312,1.42
0.313,1.416
0.313,1.412
0.314,1.408
0.314,1.403
0.315,1.399
0.315,1.395
0.316,1.391
0.316,1.387
0.317,1.383
0.317,1.378
0.318,1.374
0.318,1.37
0.319,1.366
0.319,1.362
0.319,1.358
0.32,1.354
0.32,1.35
0.321,1.346
0.321,1.342
0.322,1.338
0.322,1.335
0.323,1.331
0.323,1.327
0.324,1.323
0.324,1.319
0.325,1.315
0.325,1.311
0.325,1.308
0.326,1.304
0.326,1.3
0.327,1.296
0.328,1.293
0.329,1.289
0.33,1.285
0.33,1.281
0.332,1.278
0.333,1.274
0.335,1.27
0.336,1.267
0.338,1.263
0.339,1.259
0.341,1.256
0.343,1.252
0.345,1.248
0.347,1.245
0.349,1.241
0.351,1.238
