# Time (s),Mass (g)
0,3.306e4
0.009,3.306e4
0.019,3.304e4
0.029,3.303e4
0.039,3.301e4
0.044,3.3e4
0.051,3.298e4
0.063,3.294e4
0.073,3.291e4
0.078,3.29e4
0.086,3.287e4
0.094,3.285e4
0.104,3.282e4
0.109,3.28e4
0.117,3.278e4
0.125,3.275e4
0.135,3.272e4
0.147,3.269e4
0.157,3.266e4
0.167,3.263e4
0.177,3.26e4
0.187,3.257e4
0.194,3.255e4
0.204,3.251e4
0.214,3.248e4
0.224,3.245e4
0.234,3.242e4
0.244,3.239e4
0.254,3.236e4
0.264,3.233e4
0.279,3.229e4
0.302,3.222e4
0.335,3.212e4
0.35,3.207e4
0.372,3.2e4
0.405,3.19e4
0.428,3.182e4
0.462,3.171e4
0.512,3.155e4
0.563,3.138e4
0.613,3.121e4
0.663,3.104e4
0.694,3.094e4
0.74,3.078e4
0.79,3.061e4
0.84,3.044e4
0.891,3.027e4
0.941,3.01e4
0.988,2.993e4
1.038,2.976e4
1.088,2.958e4
1.138,2.941e4
1.188,2.924e4
1.238,2.906e4
1.266,2.897e4
1.308,2.882e4
1.358,2.864e4
1.408,2.847e4
1.458,2.829e4
1.491,2.818e4
1.541,2.8e4
1.581,2.786e4
1.631,2.769e4
1.641,2.765e4
1.656,2.76e4
1.679,2.752e4
1.684,2.75e4
1.692,2.748e4
1.705,2.744e4
1.716,2.74e4
1.733,2.734e4
1.759,2.725e4
1.784,2.717e4
1.822,2.705e4
1.872,2.689e4
1.922,2.673e4
1.938,2.668e4
1.962,2.661e4
1.998,2.65e4
2.048,2.635e4
2.098,2.62e4
2.138,2.608e4
2.188,2.594e4
2.238,2.58e4
2.288,2.566e4
2.338,2.552e4
2.388,2.538e4
2.438,2.524e4
2.488,2.51e4
2.491,2.509e4
2.496,2.508e4
2.502,2.506e4
2.512,2.503e4
2.528,2.499e4
2.55,2.493e4
2.585,2.484e4
2.6,2.48e4
2.623,2.475e4
2.658,2.468e4
2.708,2.457e4
2.758,2.447e4
2.808,2.436e4
2.858,2.426e4
2.908,2.415e4
2.919,2.413e4
2.935,2.41e4
2.96,2.406e4
2.997,2.4e4
3.022,2.397e4
3.06,2.391e4
3.11,2.384e4
3.138,2.38e4
3.181,2.375e4
3.231,2.369e4
3.281,2.363e4
3.3,2.361e4
3.329,2.358e4
3.373,2.354e4
3.388,2.353e4
3.41,2.351e4
3.441,2.349e4
3.487,2.346e4
3.537,2.343e4
3.544,2.342e4
3.555,2.342e4
3.571,2.341e4
3.595,2.339e4
3.609,2.338e4
3.629,2.337e4
3.66,2.336e4
3.688,2.334e4
3.73,2.333e4
3.778,2.331e4
3.819,2.33e4
3.853,2.329e4
3.897,2.329e4
3.947,2.328e4
3.981,2.328e4
3.997,2.328e4
4.021,2.328e4
4.057,2.328e4
4.107,2.328e4
4.157,2.328e4
4.207,2.328e4
4.257,2.328e4
4.307,2.328e4
4.357,2.328e4
4.407,2.328e4
4.457,2.328e4
4.507,2.328e4
4.557,2.328e4
4.607,2.328e4
4.657,2.328e4
4.707,2.328e4
4.757,2.328e4
4.807,2.328e4
4.857,2.328e4
4.907,2.328e4
4.957,2.328e4
5.007,2.328e4
5.057,2.328e4
5.107,2.328e4
5.157,2.328e4
5.207,2.328e4
5.257,2.328e4
5.307,2.328e4
5.357,2.328e4
5.407,2.328e4
5.457,2.328e4
5.507,2.328e4
5.557,2.328e4
5.607,2.328e4
