# Time (s),Thrust (N)
0,0
0.009,20.408
0.019,2046.647
0.029,4072.886
0.039,6099.125
0.044,7112.245
0.051,6963.212
0.063,6734.694
0.073,6843.537
0.078,6897.959
0.086,6764.031
0.094,6612.245
0.104,6714.286
0.109,6765.306
0.117,6660.076
0.125,6540.816
0.135,6559.369
0.147,6581.633
0.157,6568.606
0.167,6555.58
0.177,6542.553
0.187,6529.527
0.194,6520.408
0.204,6538.069
0.214,6555.73
0.224,6573.391
0.234,6591.052
0.244,6608.712
0.254,6626.373
0.264,6644.034
0.279,6670.526
0.302,6710.263
0.335,6769.868
0.35,6795.918
0.372,6879.857
0.405,7005.764
0.428,7091.837
0.462,7140.71
0.512,7212.516
0.563,7285.714
0.613,7332.45
0.663,7379.187
0.694,7408.163
0.74,7435.6
0.79,7465.101
0.84,7494.603
0.891,7524.105
0.941,7553.606
0.988,7581.633
1.038,7588.974
1.088,7596.315
1.138,7603.656
1.188,7610.997
1.238,7618.338
1.266,7622.449
1.308,7641.497
1.358,7664.172
1.408,7686.848
1.458,7709.524
1.491,7724.49
1.541,7685.204
1.581,7653.061
1.631,7559.524
1.641,7540.816
1.656,7526.578
1.679,7505.221
1.684,7500
1.692,7457.908
1.705,7394.771
1.716,7336.735
1.733,7308.571
1.759,7266.324
1.784,7224.49
1.822,7116.176
1.872,6973.716
1.922,6831.257
1.938,6785.714
1.962,6730.666
1.998,6648.094
2.048,6533.298
2.098,6418.502
2.138,6326.531
2.188,6265.827
2.238,6205.123
2.288,6144.418
2.338,6083.714
2.388,6023.01
2.438,5962.306
2.488,5901.601
2.491,5897.959
2.496,5889.955
2.502,5877.949
2.512,5859.94
2.528,5832.926
2.55,5792.405
2.585,5731.624
2.6,5704.082
2.623,5546.573
2.658,5310.311
2.708,4971.241
2.758,4632.171
2.808,4293.101
2.858,3954.031
2.908,3614.961
2.919,3540.816
2.935,3519.694
2.96,3488.011
2.997,3440.487
3.022,3408.163
3.06,3239.267
3.11,3014.953
3.138,2887.755
3.181,2716.31
3.231,2514.748
3.281,2313.186
3.3,2234.694
3.329,2048.43
3.373,1769.033
3.388,1673.469
3.41,1595.576
3.441,1489.796
3.487,1458.045
3.537,1423.37
3.544,1418.367
3.555,1397.979
3.571,1367.398
3.595,1321.526
3.609,1295.918
3.629,1172.131
3.66,986.451
3.688,816.327
3.73,740.072
3.778,653.061
3.819,581.633
3.853,489.796
3.897,285.714
3.947,127.794
3.981,20.408
3.997,0
4.021,0
4.057,0
4.107,0
4.157,0
4.207,0
4.257,0
4.307,0
4.357,0
4.407,0
4.457,0
4.507,0
4.557,0
4.607,0
4.657,0
4.707,0
4.757,0
4.807,0
4.857,0
4.907,0
4.957,0
5.007,0
5.057,0
5.107,0
5.157,0
5.207,0
5.257,0
5.307,0
5.357,0
5.407,0
5.457,0
5.507,0
5.557,0
5.607,0
5.657,0
5.707,0
5.757,0
5.807,0
5.857,0
5.907,0
5.957,0
6.007,0
6.057,0
6.107,0
6.157,0
6.207,0
6.257,0
6.307,0
6.357,0
6.407,0
6.457,0
6.507,0
6.557,0
6.607,0
6.657,0
6.707,0
6.757,0
6.807,0
6.857,0
6.907,0
6.957,0
7.007,0
7.057,0
7.107,0
7.157,0
7.207,0
7.257,0
7.307,0
7.357,0
7.407,0
7.457,0
7.507,0
7.557,0
7.607,0
7.657,0
7.707,0
7.757,0
7.807,0
7.857,0
7.907,0
7.957,0
8.007,0
8.057,0
8.107,0
8.157,0
8.207,0
8.257,0
8.307,0
8.357,0
8.407,0
8.457,0
8.507,0
8.557,0
8.607,0
8.657,0
8.707,0
8.757,0
8.807,0
8.857,0
8.907,0
8.957,0
9.007,0
9.057,0
9.107,0
9.157,0
9.207,0
9.257,0
9.307,0
9.357,0
9.407,0
9.457,0
9.507,0
9.557,0
9.607,0
9.657,0
9.707,0
9.757,0
9.807,0
9.857,0
9.907,0
9.957,0
10.007,0
10.057,0
10.107,0
10.157,0
10.207,0
10.257,0
10.307,0
10.357,0
10.407,0
10.457,0
10.507,0
10.557,0
10.607,0
10.657,0
10.707,0
10.757,0
10.807,0
10.857,0
10.907,0
10.957,0
11.007,0
11.057,0
11.107,0
11.157,0
11.207,0
11.257,0
11.307,0
11.357,0
11.407,0
11.457,0
11.507,0
11.557,0
11.607,0
11.657,0
11.707,0
11.757,0
11.807,0
11.857,0
11.907,0
11.957,0
12.007,0
12.057,0
12.107,0
12.157,0
12.207,0
12.257,0
12.307,0
12.357,0
12.407,0
12.457,0
12.507,0
12.557,0
12.607,0
12.657,0
12.707,0
12.757,0
12.807,0
12.857,0
12.907,0
12.957,0
13.007,0
13.057,0
13.107,0
13.157,0
13.207,0
13.257,0
13.307,0
13.357,0
13.407,0
13.457,0
13.507,0
13.557,0
13.607,0
13.657,0
13.707,0
13.757,0
13.807,0
13.857,0
13.907,0
13.957,0
14.007,0
14.057,0
14.107,0
14.157,0
14.207,0
14.257,0
14.307,0
14.357,0
14.407,0
14.457,0
14.507,0
14.557,0
14.607,0
14.657,0
14.707,0
14.757,0
14.807,0
14.857,0
14.907,0
14.957,0
15.007,0
15.057,0
15.107,0
15.157,0
15.207,0
15.257,0
15.307,0
15.357,0
15.407,0
15.457,0
15.507,0
15.557,0
15.607,0
15.657,0
15.707,0
15.757,0
15.807,0
15.857,0
15.907,0
15.957,0
16.007,0
16.057,0
16.107,0
16.157,0
16.207,0
16.257,0
16.307,0
16.357,0
16.407,0
16.457,0
16.507,0
16.557,0
16.607,0
16.657,0
16.707,0
16.757,0
16.807,0
16.857,0
16.907,0
16.957,0
17.007,0
17.057,0
17.107,0
17.157,0
17.207,0
17.257,0
17.307,0
17.357,0
17.407,0
17.457,0
17.507,0
17.557,0
17.607,0
17.657,0
17.707,0
17.757,0
17.807,0
17.857,0
17.907,0
17.957,0
18.007,0
18.057,0
18.107,0
18.157,0
18.207,0
18.257,0
18.307,0
18.357,0
18.407,0
18.457,0
18.507,0
18.557,0
18.607,0
18.657,0
18.707,0
18.757,0
18.807,0
18.857,0
18.907,0
18.957,0
19.007,0
19.057,0
19.107,0
19.157,0
19.207,0
19.257,0
19.307,0
19.357,0
19.407,0
19.457,0
19.507,0
19.557,0
19.607,0
19.657,0
19.707,0
19.757,0
19.807,0
19.857,0
19.907,0
19.957,0
20.007,0
20.057,0
20.107,0
20.157,0
20.207,0
20.257,0
20.307,0
20.357,0
20.407,0
20.457,0
20.507,0
20.557,0
20.607,0
20.657,0
20.707,0
20.757,0
20.807,0
20.857,0
20.907,0
20.957,0
21.007,0
21.057,0
21.107,0
21.157,0
21.207,0
21.257,0
21.307,0
21.357,0
21.407,0
21.457,0
21.507,0
21.557,0
21.607,0
21.657,0
21.707,0
21.757,0
21.807,0
21.857,0
21.907,0
21.957,0
22.007,0
22.057,0
22.107,0
22.157,0
22.207,0
22.257,0
22.307,0
22.357,0
22.407,0
22.457,0
22.507,0
22.557,0
22.607,0
22.657,0
22.707,0
22.757,0
22.807,0
22.857,0
22.907,0
22.957,0
23.007,0
23.057,0
23.107,0
23.157,0
23.207,0
23.257,0
23.307,0
23.357,0
23.407,0
23.457,0
23.507,0
23.557,0
23.607,0
23.657,0
23.707,0
23.757,0
23.807,0
23.857,0
23.907,0
23.957,0
24.007,0
24.057,0
24.107,0
24.157,0
24.207,0
24.257,0
24.307,0
24.357,0
24.407,0
24.457,0
24.507,0
24.557,0
24.607,0
24.657,0
24.707,0
24.757,0
24.807,0
24.857,0
24.907,0
24.957,0
25.007,0
25.057,0
25.107,0
25.157,0
25.207,0
25.257,0
25.307,0
25.357,0
25.407,0
25.457,0
25.507,0
25.557,0
25.607,0
25.657,0
25.707,0
25.757,0
25.807,0
25.857,0
25.907,0
25.957,0
26.007,0
26.057,0
26.107,0
26.157,0
26.207,0
26.257,0
26.307,0
26.357,0
26.407,0
26.457,0
26.507,0
26.557,0
26.607,0
26.657,0
26.707,0
26.757,0
26.807,0
26.857,0
26.907,0
26.957,0
27.007,0
27.057,0
27.107,0
27.157,0
27.207,0
27.257,0
27.307,0
27.357,0
27.407,0
27.457,0
27.507,0
27.557,0
27.607,0
27.657,0
27.707,0
27.757,0
27.807,0
27.857,0
27.907,0
27.957,0
28.007,0
28.057,0
28.107,0
28.157,0
28.207,0
28.257,0
28.307,0
28.357,0
28.407,0
28.457,0
28.507,0
28.557,0
28.607,0
28.657,0
28.707,0
28.757,0
28.807,0
28.857,0
28.907,0
28.957,0
29.007,0
29.057,0
29.107,0
