# Time (s),Altitude (m),Vertical velocity (m/s),Vertical acceleration (m/s²),Mass (kg),Air density (kg/m³),Speed of sound (m/s)
0,0,0,0,27.977,1.129,337.049
0.01,0,0,0,27.977,1.129,337.049
0.02,0,0,0,27.976,1.129,337.049
0.029,3.466e-5,0.014,4.284,27.975,1.129,337.049
0.032,1.925e-4,0.14,70.689,27.972,1.129,337.049
0.035,0.001,0.426,81.839,27.967,1.129,337.049
0.039,0.003,0.754,92.993,27.962,1.129,337.049
0.045,0.009,1.258,86.19,27.954,1.129,337.049
0.049,0.015,1.623,80.896,27.948,1.129,337.049
0.052,0.02,1.896,116.196,27.943,1.129,337.049
0.055,0.028,2.341,120.787,27.936,1.129,337.049
0.06,0.04,2.928,126.605,27.926,1.129,337.049
0.067,0.064,3.855,133.587,27.911,1.129,337.049
0.07,0.076,4.243,136.407,27.905,1.129,337.049
0.074,0.096,4.838,139.595,27.896,1.129,337.048
0.078,0.114,5.358,142.322,27.887,1.129,337.048
0.084,0.146,6.153,145.222,27.875,1.129,337.048
0.088,0.175,6.808,147.567,27.864,1.129,337.048
0.095,0.224,7.796,147.246,27.849,1.129,337.048
0.105,0.309,9.266,146.766,27.825,1.129,337.048
0.115,0.409,10.731,146.285,27.802,1.129,337.047
0.12,0.468,11.505,146.029,27.79,1.129,337.047
0.128,0.564,12.662,145.072,27.771,1.129,337.047
0.138,0.698,14.106,143.864,27.748,1.129,337.046
0.148,0.847,15.547,142.648,27.725,1.129,337.045
0.158,1.01,16.974,142.821,27.703,1.129,337.045
0.168,1.187,18.403,142.993,27.68,1.129,337.044
0.178,1.378,19.834,143.166,27.657,1.129,337.043
0.188,1.583,21.266,143.339,27.635,1.129,337.043
0.198,1.803,22.701,143.511,27.612,1.128,337.042
0.208,2.037,24.137,143.684,27.589,1.128,337.041
0.218,2.286,25.574,143.856,27.566,1.128,337.04
0.228,2.549,27.014,144.028,27.544,1.128,337.039
0.238,2.826,28.455,144.199,27.521,1.128,337.038
0.247,3.088,29.753,144.354,27.501,1.128,337.037
0.26,3.503,31.704,144.69,27.47,1.128,337.035
0.281,4.175,34.64,145.195,27.423,1.128,337.032
0.311,5.294,39.061,145.953,27.354,1.128,337.028
0.357,7.226,45.737,147.089,27.249,1.128,337.02
0.398,9.241,51.835,148.118,27.155,1.128,337.012
0.448,12.018,59.27,149.265,27.039,1.127,337.001
0.498,15.169,66.762,150.41,26.923,1.127,336.989
0.548,18.695,74.311,151.551,26.807,1.127,336.975
0.577,20.914,78.715,152.211,26.74,1.126,336.966
0.62,24.483,85.363,153.45,26.638,1.126,336.952
0.67,28.943,93.071,154.871,26.52,1.125,336.935
0.72,33.791,100.85,156.285,26.402,1.125,336.916
0.771,39.03,108.7,157.697,26.284,1.124,336.895
0.774,39.411,109.252,157.796,26.276,1.124,336.894
0.779,39.987,110.081,157.933,26.263,1.124,336.891
0.787,40.859,111.325,158.139,26.244,1.124,336.888
0.799,42.185,113.195,158.448,26.216,1.124,336.883
0.817,44.215,116.007,158.912,26.173,1.124,336.875
0.843,47.355,120.239,159.605,26.11,1.123,336.862
0.883,52.275,126.623,160.641,26.014,1.123,336.843
0.933,58.808,134.688,161.932,25.894,1.122,336.817
0.964,63.047,139.703,162.726,25.82,1.122,336.8
1.01,69.697,147.268,163.69,25.707,1.121,336.774
1.06,77.265,155.478,164.716,25.585,1.12,336.744
1.11,85.246,163.739,165.729,25.464,1.119,336.713
1.16,93.64,172.05,166.723,25.342,1.118,336.68
1.172,95.656,173.994,166.953,25.314,1.118,336.672
1.189,98.723,176.916,167.34,25.271,1.118,336.66
1.216,103.419,181.311,167.916,25.206,1.117,336.641
1.255,110.679,187.931,168.771,25.109,1.116,336.613
1.305,120.287,196.397,169.841,24.986,1.115,336.575
1.341,127.463,202.521,170.595,24.897,1.114,336.547
1.391,137.803,211.06,170.987,24.773,1.113,336.506
1.441,148.569,219.619,171.361,24.65,1.112,336.464
1.491,159.765,228.196,171.708,24.526,1.111,336.419
1.51,164.131,231.459,171.835,24.479,1.11,336.402
1.539,170.798,236.363,172.29,24.408,1.11,336.376
1.581,181.06,243.743,172.969,24.301,1.109,336.336
1.631,193.464,252.411,173.74,24.177,1.107,336.287
1.661,201.05,257.586,174.184,24.103,1.106,336.257
1.706,212.718,265.369,174.623,23.992,1.105,336.211
1.756,226.205,274.112,175.081,23.866,1.104,336.158
1.806,240.13,282.876,175.479,23.741,1.102,336.103
1.837,249.092,288.386,175.692,23.663,1.101,336.068
1.884,262.858,296.664,176.084,23.545,1.1,336.013
1.934,277.912,305.477,176.53,23.419,1.098,335.954
1.984,293.407,314.32,177.173,23.293,1.097,335.893
2.027,307.066,321.939,177.705,23.185,1.095,335.839
2.077,323.385,330.837,178.243,23.058,1.093,335.775
2.127,340.15,339.76,178.453,22.932,1.092,335.709
2.157,350.423,345.112,178.425,22.856,1.091,335.668
2.202,366.134,353.143,178.526,22.742,1.089,335.607
2.252,384.015,362.076,178.854,22.615,1.087,335.536
2.295,399.749,369.778,179.355,22.505,1.085,335.474
2.336,415.061,377.137,179.68,22.401,1.084,335.414
2.386,434.142,386.117,179.555,22.274,1.082,335.339
2.436,453.673,395.095,179.586,22.148,1.079,335.262
2.486,473.652,404.077,179.704,22.021,1.077,335.183
2.505,481.362,407.492,179.756,21.973,1.076,335.153
2.534,493.048,412.616,179.831,21.902,1.075,335.107
2.576,510.852,420.306,179.903,21.794,1.073,335.037
2.626,532.092,429.3,179.838,21.669,1.071,334.953
2.633,534.994,430.514,179.804,21.652,1.071,334.941
2.643,539.362,432.333,179.577,21.627,1.07,334.924
2.658,545.949,435.058,179.235,21.59,1.07,334.898
2.681,555.907,439.135,178.667,21.534,1.068,334.859
2.715,571.017,445.225,177.804,21.449,1.067,334.8
2.765,593.5,454.084,176.535,21.326,1.064,334.711
2.794,606.621,459.146,175.815,21.255,1.063,334.659
2.837,626.574,466.713,175.316,21.151,1.061,334.581
2.887,650.128,475.465,174.772,21.03,1.058,334.488
2.937,674.12,484.191,174.243,20.909,1.056,334.393
2.97,690.143,489.917,173.881,20.829,1.054,334.33
3.019,714.531,498.472,172.843,20.712,1.052,334.234
3.069,739.67,507.087,171.763,20.593,1.049,334.135
3.119,765.238,515.648,170.649,20.474,1.046,334.035
3.131,771.259,517.635,170.384,20.447,1.046,334.011
3.148,780.332,520.611,170.126,20.406,1.045,333.975
3.175,794.04,525.066,169.738,20.345,1.044,333.921
3.214,814.82,531.73,169.172,20.253,1.041,333.839
3.264,841.618,540.171,168.504,20.136,1.039,333.734
3.3,861.16,546.226,168.053,20.052,1.037,333.657
3.35,888.681,554.615,167.531,19.937,1.034,333.548
3.4,916.621,562.979,167.001,19.823,1.031,333.438
3.449,944.408,571.149,166.463,19.71,1.028,333.329
3.499,973.173,579.48,166.805,19.596,1.025,333.215
3.547,1001.181,587.494,167.117,19.486,1.022,333.105
3.597,1030.763,595.8,165.108,19.372,1.019,332.989
3.607,1036.73,597.449,164.704,19.35,1.018,332.965
3.622,1045.71,599.892,161.037,19.318,1.018,332.93
3.645,1059.248,603.454,155.527,19.27,1.016,332.876
3.678,1079.701,608.563,147.239,19.198,1.014,332.796
3.708,1097.87,612.834,139.919,19.135,1.012,332.724
3.753,1125.352,618.713,123.566,19.056,1.009,332.616
3.803,1156.434,624.433,105.187,18.967,1.006,332.494
3.825,1170.431,626.694,96.942,18.928,1.005,332.438
3.859,1191.518,629.818,89.235,18.88,1.003,332.355
3.909,1223.116,633.992,77.722,18.808,1,332.231
3.927,1234.818,635.386,73.462,18.782,0.998,332.185
3.955,1252.418,637.372,70.137,18.747,0.997,332.116
3.996,1278.918,640.178,65.145,18.696,0.994,332.011
4.046,1311.006,643.284,59.099,18.635,0.991,331.885
4.054,1316.063,643.745,58.147,18.625,0.99,331.865
4.066,1323.656,644.423,56.878,18.612,0.99,331.835
4.083,1335.061,645.412,54.974,18.593,0.988,331.79
4.11,1352.2,646.832,52.118,18.565,0.987,331.722
4.15,1377.976,648.821,47.841,18.522,0.984,331.621
4.2,1410.475,651.078,42.464,18.468,0.981,331.493
4.205,1413.87,651.298,41.905,18.463,0.981,331.48
4.213,1418.965,651.62,40.448,18.456,0.98,331.46
