# Time (s),Drag coefficient (​),Mach number (​)
0,2.102,0
0.01,2.102,0
0.02,2.102,0
0.029,2.103,4.145e-5
0.032,1.501,4.107e-4
0.035,1.136,0.001
0.039,1.003,0.002
0.045,0.905,0.004
0.049,0.863,0.005
0.052,0.839,0.006
0.055,0.808,0.007
0.06,0.777,0.009
0.067,0.742,0.011
0.07,0.731,0.012
0.074,0.716,0.014
0.078,0.705,0.016
0.084,0.692,0.018
0.088,0.682,0.02
0.095,0.669,0.023
0.105,0.654,0.027
0.115,0.642,0.032
0.12,0.636,0.034
0.128,0.63,0.037
0.136,0.63,0.041
0.143,0.63,0.044
0.148,0.63,0.046
0.154,0.63,0.048
0.161,0.63,0.051
0.17,0.631,0.055
0.183,0.631,0.06
0.204,0.631,0.069
0.235,0.631,0.082
0.247,0.632,0.087
0.266,0.632,0.095
0.294,0.632,0.107
0.336,0.633,0.125
0.386,0.634,0.147
0.398,0.634,0.152
0.416,0.635,0.16
0.444,0.635,0.172
0.484,0.636,0.19
0.534,0.637,0.212
0.577,0.639,0.231
0.627,0.64,0.254
0.677,0.642,0.276
0.727,0.644,0.299
0.774,0.646,0.321
0.824,0.648,0.344
0.874,0.651,0.368
0.924,0.653,0.392
0.964,0.655,0.411
1.014,0.658,0.435
1.064,0.662,0.459
1.114,0.665,0.483
1.164,0.669,0.508
1.172,0.669,0.511
1.184,0.67,0.517
1.202,0.672,0.526
1.229,0.674,0.54
1.269,0.677,0.56
1.319,0.682,0.585
1.341,0.684,0.595
1.373,0.687,0.612
1.422,0.692,0.636
1.472,0.698,0.661
1.51,0.702,0.681
1.56,0.709,0.706
1.61,0.716,0.732
1.661,0.723,0.758
1.711,0.732,0.783
1.761,0.741,0.809
1.811,0.752,0.835
1.837,0.759,0.849
1.876,0.769,0.869
1.926,0.786,0.895
1.976,0.788,0.921
2.027,0.786,0.947
2.077,0.784,0.974
2.127,0.782,1
2.157,0.798,1.016
2.202,0.813,1.04
2.252,0.818,1.066
2.295,0.814,1.089
2.336,0.806,1.11
2.386,0.792,1.137
2.436,0.773,1.163
2.486,0.751,1.19
2.505,0.742,1.2
2.534,0.73,1.215
2.576,0.711,1.238
2.626,0.693,1.264
2.633,0.691,1.268
2.643,0.688,1.273
2.658,0.684,1.281
2.681,0.679,1.293
2.715,0.674,1.311
2.765,0.667,1.338
2.794,0.663,1.353
2.837,0.657,1.375
2.887,0.65,1.401
2.937,0.644,1.427
2.97,0.64,1.444
3.019,0.633,1.469
3.069,0.627,1.495
3.119,0.621,1.52
3.131,0.62,1.526
3.148,0.618,1.535
3.175,0.615,1.548
3.214,0.61,1.568
3.264,0.605,1.593
3.3,0.601,1.611
3.35,0.595,1.636
3.4,0.59,1.661
3.449,0.585,1.685
3.499,0.58,1.71
3.547,0.575,1.734
3.597,0.57,1.759
3.607,0.569,1.764
3.622,0.567,1.771
3.645,0.565,1.781
3.678,0.562,1.797
3.708,0.56,1.81
3.753,0.556,1.827
3.803,0.553,1.844
3.825,0.552,1.851
3.859,0.55,1.86
3.909,0.547,1.873
3.927,0.547,1.877
3.955,0.545,1.883
3.996,0.544,1.892
4.046,0.542,1.901
